Years,Emis
1750,60.021826224154815
1751,59.08812628149409
1752,58.631997026883184
1753,59.026349400208254
1754,60.26994517384586
1755,59.82493372469855
1756,58.946829312235536
1757,61.263692996283645
1758,60.434612443788346
1759,60.44526305257086
1760,61.0517247888764
1761,60.98422720066375
1762,60.0270893345371
1763,60.12706627268857
1764,58.43835716681741
1765,60.62945785948892
1766,59.85878462626717
1767,59.89102690050865
1768,62.365825552982606
1769,60.95040360500106
1770,60.96602720867276
1771,59.42424032933086
1772,58.72495294608385
1773,58.916568849809806
1774,61.31335787055999
1775,60.54083046418634
1776,59.38114479685164
1777,60.89349007083899
1778,61.783486945977394
1779,60.500814881249
1780,61.61859566014493
1781,61.19330647262292
1782,60.485721453058936
1783,60.101712723733215
1784,59.21225989324307
1785,60.494479362546464
1786,59.91468240707549
1787,60.75335707654267
1788,63.12433046674855
1789,61.63229237950748
1790,61.84599180813865
1791,60.218739204235774
1792,59.70568574139236
1793,59.58493949599902
1794,62.03822453198565
1795,61.24273214189554
1796,59.86424242846314
1797,61.47137694742471
1798,62.19763902639178
1799,61.49623019706864
1800,62.00320914073126
1801,61.66564778863454
1802,61.32615659022454
1803,60.4043418174605
1804,60.36470274902327
1805,61.31991145746931
1806,61.22344968188293
1807,61.70646913645274
1808,64.08195973155631
1809,62.71002212876878
1810,62.97351665449524
1811,61.82960599561912
1812,60.85746996681422
1813,61.13613019851266
1814,63.49192822884616
1815,62.87157569872296
1816,62.14643251873565
1817,62.94153100870699
1818,64.26768048931984
1819,63.25758927353961
1820,64.0766432984354
1821,63.98744908758229
1822,63.22724653024458
1823,62.26076437261461
1824,62.56343379800663
1825,63.1857895539096
1826,62.81594150977745
1827,63.3899901072414
1828,65.90535948629658
1829,64.57289823663554
1830,64.9407617903359
1831,63.33682174076503
1832,62.87089656141418
1833,63.06958370159948
1834,65.10499264081507
1835,64.23544316564437
1836,64.08016333132153
1837,64.82242714481194
1838,65.94724656685626
1839,65.11131218043978
1840,64.92298176034035
1841,65.9454451837981
1842,64.92167359416241
1843,63.424060913522
1844,63.76245430030204
1845,64.68556723249593
1846,64.24405152639606
1847,65.4436207520381
1848,67.39824375327751
1849,66.42707154065786
1850,66.78304875030415
1851,64.9500465918497
1852,63.95789986488204
1853,64.44555417814735
1854,66.79469521937582
1855,65.65156397841133
1856,65.04253470413643
1857,66.72779876959439
1858,67.47060376347301
1859,66.95694733909333
1860,66.84953492841794
1861,66.8857555112241
1862,66.35896016165404
1863,65.00963540040021
1864,65.39906664161046
1865,67.10347351160692
1866,66.37528156013664
1867,67.66026448741948
1868,69.64729381366908
1869,67.9294955911712
1870,69.12187693609928
1871,67.42862357960736
1872,65.84553711122807
1873,67.99437045089431
1874,69.34908007240699
1875,67.4820885998621
1876,68.07266489194261
1877,68.7783807279057
1878,69.46979574102357
1879,70.08572001647862
1880,69.18788119083449
1881,69.70896888997471
1882,68.75016748711803
1883,67.06254475755776
1884,68.59402326244992
1885,68.94977818435397
1886,68.86926284379062
1887,69.79403942185417
1888,71.4272374400245
1889,70.65718771639492
1890,71.47659716602703
1891,69.53172190504567
1892,68.66391958974123
1893,69.48705801909811
1894,71.90804380664726
1895,71.15178658195539
1896,69.42267705803128
1897,71.54673250412924
1898,71.45665951589594
1899,72.46072255843501
1900,71.90656631461616
1901,71.63263161162581
1902,71.24149846316587
1903,70.25376393283156
1904,72.88437625246436
1905,73.70973521692333
1906,73.46173851221981
1907,76.00444514305916
1908,76.85623799627187
1909,76.44087709943787
1910,78.48124342715316
1911,76.73370568501319
1912,75.83160819084691
1913,77.57996159883326
1914,79.77807342879137
1915,78.35040062356745
1916,78.27985154770644
1917,80.4548180697849
1918,81.61294813978053
1919,81.67724386438958
1920,82.96992111207
1921,81.18725519244387
1922,80.53069430512947
1923,86.27583424473677
1924,83.21123114220697
1925,84.06174423454924
1926,84.16877083488303
1927,86.52753524964037
1928,87.11586336850813
1929,89.37670246877072
1930,91.59573862667057
1931,86.48531866506028
1932,87.90725372849691
1933,87.73926442282286
1934,91.49703968423375
1935,91.90214074154562
1936,95.83484543323485
1937,95.84567433043011
1938,93.23706061745492
1939,97.34535423251214
1940,96.49612886832482
1941,97.09407345232208
1942,98.65719695401302
1943,99.4863464447604
1944,102.00830515112276
1945,102.38686289278726
1946,102.65818348678008
1947,104.1573676076626
1948,108.09641738801687
1949,109.1544257771438
1950,113.85984719531824
1951,109.0909544187218
1952,112.61821090484104
1953,116.77653779023557
1954,118.7896928573186
1955,122.54258151361353
1956,129.82302004314178
1957,135.59152056062854
1958,129.20858361180427
1959,131.21049744121555
1960,133.33681491027784
1961,143.56526348207862
1962,140.1058920148071
1963,156.13095399196706
1964,146.45477556142896
1965,153.4053911942689
1966,156.4949809106804
1967,164.7753162103986
1968,165.09570877308497
1969,169.68157132242789
1970,179.6859546683907
1971,183.5355578991533
1972,196.66552470793945
1973,186.52593193281965
1974,183.6005250821906
1975,177.51306730736252
1976,186.247427298102
1977,189.2255322560173
1978,192.93479554653743
1979,196.0169028731842
1980,194.39124204024887
1981,189.168613859002
1982,206.88446477767016
1983,183.83582233478344
1984,189.33352573144717
1985,190.45688566633945
1986,195.66522346659664
1987,203.585170051448
1988,203.53222760721053
1989,200.31650520357337
1990,203.0212309920509
1991,244.4286341102607
1992,198.23847301394608
1993,203.77578316226604
1994,231.0503542937696
1995,206.47424846775
1996,200.87242078907184
1997,264.67515030448345
1998,232.31801820181303
1999,205.11187816433736
2000,195.3241581852736
2001,196.1877828105409
2002,218.4604141242816
2003,214.40339143057145
2004,216.68728340618875
2005,218.7880647839753
2006,229.8954395164696
2007,219.70587066030023
2008,214.69549502704007
2009,218.758114337086
2010,224.60211210242653
2011,218.62875398112044
2012,229.10693623998705
2013,219.3811792508812
2014,233.52551800560903
2015,227.244818987672
2016,227.8836546080796
2017,228.52249022848721
2018,229.1613258488948
2019,229.8001614693024
2020,230.43899708971
2021,231.1577172395325
2022,231.876437389355
2023,232.5951575391775
2024,233.313877689
2025,234.03259783882248
2026,234.75131798864498
2027,235.4700381384675
2028,236.18875828829
2029,236.9074784381125
2030,237.626198587935
2031,238.2759744850554
2032,238.9257503821758
2033,239.57552627929618
2034,240.2253021764166
2035,240.875078073537
2036,241.5248539706574
2037,242.1746298677778
2038,242.8244057648982
2039,243.4741816620186
2040,244.123957559139
2041,243.7341923167744
2042,243.3444270744098
2043,242.9546618320452
2044,242.5648965896806
2045,242.17513134731598
2046,241.7853661049514
2047,241.3956008625868
2048,241.0058356202222
2049,240.6160703778576
2050,240.226305135493
2051,239.3712748191295
2052,238.516244502766
2053,237.6612141864025
2054,236.806183870039
2055,235.9511535536755
2056,235.09612323731199
2057,234.2410929209485
2058,233.386062604585
2059,232.5310322882215
2060,231.676001971858
2061,231.4865694795647
2062,231.2971369872714
2063,231.1077044949781
2064,230.9182720026848
2065,230.72883951039148
2066,230.5394070180982
2067,230.3499745258049
2068,230.1605420335116
2069,229.97110954121828
2070,229.781677048925
2071,228.5403114675927
2072,227.29894588626038
2073,226.05758030492808
2074,224.81621472359578
2075,223.57484914226347
2076,222.3334835609312
2077,221.0921179795989
2078,219.8507523982666
2079,218.6093868169343
2080,217.368021235602
