Years,Emis
1750,2.2356458043303933
1751,2.211659614395802
1752,2.211530385596964
1753,2.23092315456626
1754,2.263119177682035
1755,2.250753164225223
1756,2.2542552556124855
1757,2.296818182883351
1758,2.253396054017365
1759,2.2884379386312936
1760,2.302543927774705
1761,2.3003710914565305
1762,2.308462905115346
1763,2.302155369383745
1764,2.2602378231916296
1765,2.306123107276095
1766,2.3010420629271158
1767,2.3070279131618223
1768,2.3308091139503917
1769,2.332072031905713
1770,2.3157597469117697
1771,2.2949824979378937
1772,2.3064910300236106
1773,2.3230102037231477
1774,2.382100042939462
1775,2.367602053712373
1776,2.382050344138251
1777,2.4202194479731087
1778,2.411330046963082
1779,2.4323213741678726
1780,2.4726218352438893
1781,2.470563945668811
1782,2.4728832058927566
1783,2.4664755494472423
1784,2.440041075572135
1785,2.464584683136155
1786,2.477948808490214
1787,2.4912645845894446
1788,2.5199970306960076
1789,2.513363043121821
1790,2.5038146788824562
1791,2.474975313936901
1792,2.4693354796535756
1793,2.477619041469005
1794,2.5285509979326335
1795,2.5066747212273475
1796,2.5121780964176024
1797,2.5322774713251697
1798,2.5133161961487493
1799,2.53406162420269
1800,2.554198646749904
1801,2.5550464290804067
1802,2.571122501829275
1803,2.5631197665848537
1804,2.5645325196827367
1805,2.5840193397286075
1806,2.6148519401213797
1807,2.62845849358309
1808,2.6639008407744944
1809,2.6635766554254827
1810,2.661337770837937
1811,2.646333864937123
1812,2.639187842287388
1813,2.665210832355208
1814,2.7184931087870483
1815,2.70547145134919
1816,2.7204096800565987
1817,2.7440760305649157
1818,2.733622730167532
1819,2.761333365265134
1820,2.7881017127337566
1821,2.79581731100777
1822,2.815560719659003
1823,2.797555331603764
1824,2.8226343929283253
1825,2.832270094933363
1826,2.8687636617358043
1827,2.883854924287565
1828,2.929923540588285
1829,2.9294004469133794
1830,2.938834527874893
1831,2.9278836133534103
1832,2.9350940255568467
1833,2.9678061887769553
1834,3.0134996834112506
1835,3.0119836785728706
1836,3.0548380426458266
1837,3.068988415458083
1838,3.081916214779498
1839,3.1141213416234237
1840,3.1439846182354714
1841,3.1594844922557384
1842,3.1704465832001842
1843,3.1559843529979785
1844,3.1815297191132332
1845,3.201309317383516
1846,3.2317528745842647
1847,3.260062448666724
1848,3.2986739229474766
1849,3.3068174319655883
1850,3.314092801836634
1851,3.2906631392896095
1852,3.297838719386383
1853,3.3256646261104263
1854,3.3969320243112913
1855,3.392678682840417
1856,3.436722145291556
1857,3.4452040566340916
1858,3.4502634730644655
1859,3.5053195348222603
1860,3.5385698264311847
1861,3.544484382954633
1862,3.5558657210052473
1863,3.556451773857379
1864,3.5916767322464134
1865,3.6173413609983864
1866,3.651843547338082
1867,3.6775434297555973
1868,3.7168838017741708
1869,3.7253807635075846
1870,3.7403899138167143
1871,3.7323615911419923
1872,3.7529604562810333
1873,3.8109569082621544
1874,3.8180269442855055
1875,3.8202122164962713
1876,3.869519066558845
1877,3.868602493129325
1878,3.8684373092670548
1879,3.9535417682806617
1880,3.9921114637668396
1881,4.003681818124431
1882,4.029227654886398
1883,4.0176709941743365
1884,4.049964756236936
1885,4.048128334851308
1886,4.0783760040871035
1887,4.110370361502192
1888,4.1911919753668325
1889,4.183066372533542
1890,4.237706814347802
1891,4.240315669714699
1892,4.248003579146029
1893,4.253113209333625
1894,4.298059078649011
1895,4.342715848943896
1896,4.370134172578585
1897,4.391315977098538
1898,4.408617416117897
1899,4.538159300687657
1900,4.558683782880924
1901,4.575005123170866
1902,4.6106083740043955
1903,4.662875447990581
1904,4.712136254242298
1905,4.777497250724255
1906,4.8403108453719845
1907,5.0079648475628495
1908,4.979494105693017
1909,5.0195923925695425
1910,5.1125343787745035
1911,5.120892824123757
1912,5.180295014159321
1913,5.341969429443702
1914,5.2400646135313345
1915,5.216702825366444
1916,5.3284196848206955
1917,5.368337939127743
1918,5.354704361211122
1919,5.261497250498383
1920,5.514355161841864
1921,5.332467075611968
1922,5.502346278412439
1923,5.885579882785703
1924,5.816119410781346
1925,5.8971441285381365
1926,5.850836458225814
1927,6.169872386372383
1928,6.186298418894981
1929,6.410780659482208
1930,6.232984199737803
1931,6.012336235692001
1932,5.8564898884615815
1933,6.021262986824084
1934,6.168196041444988
1935,6.325118227284891
1936,6.603686575651356
1937,6.855651971529778
1938,6.698992709906969
1939,6.889001651380186
1940,7.050797120518443
1941,7.184005143398088
1942,7.134664511374017
1943,7.268849494999006
1944,7.5071089661039645
1945,7.337502426919333
1946,7.454512397278298
1947,7.635645977520238
1948,8.03841858884639
1949,7.9022633091257095
1950,8.460423198846268
1951,8.6289237245328
1952,8.795542804311538
1953,8.994904413530238
1954,9.131206452597027
1955,9.521086277374295
1956,9.862679773327365
1957,9.988875939866944
1958,10.118071825069364
1959,10.441250107666693
1960,10.558116715106863
1961,10.517552102064295
1962,10.700974918236735
1963,10.971830702059313
1964,11.177576933661872
1965,11.391425656750513
1966,11.751706710795276
1967,12.063760344936666
1968,12.730412291559126
1969,13.248682865923183
1970,14.008913822582073
1971,14.353624765712322
1972,14.822634501533244
1973,15.214648369521948
1974,15.013913223896072
1975,15.157400250055613
1976,15.711084129622481
1977,16.11636119909224
1978,16.805387336168796
1979,16.8382502509578
1980,16.552501577181083
1981,16.456729171177344
1982,16.4494699156824
1983,16.440904398391368
1984,16.643777201598144
1985,16.951701083277925
1986,17.018770777653756
1987,17.28930388112499
1988,17.549697352452434
1989,17.53410886455815
1990,17.284628816230125
1991,17.354363579259036
1992,17.001200141777673
1993,16.946757749652242
1994,16.582817032359074
1995,16.532623499377795
1996,16.407306237277155
1997,16.36713803414381
1998,16.28796487263589
1999,15.649972613265586
2000,15.642709011586021
2001,15.316147421963851
2002,14.738035489149954
2003,14.592242482453656
2004,14.770071326080089
2005,14.772309724587892
2006,14.791762804926005
2007,14.642081366944323
2008,14.966201827397075
2009,14.44795917424464
2010,14.494853828519119
2011,14.305941371795734
2012,14.273813818867886
2013,14.185921698484483
2014,14.124181814453436
2015,13.252918326874292
2016,13.403924186402866
2017,13.554930045931439
2018,13.705935905460013
2019,13.856941764988585
2020,14.00794762451716
2021,14.018053218335215
2022,14.02815881215327
2023,14.038264405971326
2024,14.048369999789381
2025,14.058475593607437
2026,14.06858118742549
2027,14.078686781243546
2028,14.088792375061601
2029,14.098897968879657
2030,14.109003562697712
2031,14.145137150531212
2032,14.181270738364711
2033,14.21740432619821
2034,14.25353791403171
2035,14.289671501865211
2036,14.32580508969871
2037,14.361938677532208
2038,14.398072265365709
2039,14.43420585319921
2040,14.470339441032708
2041,14.461114336041785
2042,14.451889231050862
2043,14.442664126059938
2044,14.433439021069015
2045,14.424213916078092
2046,14.414988811087166
2047,14.405763706096243
2048,14.39653860110532
2049,14.387313496114396
2050,14.378088391123473
2051,14.32816285120893
2052,14.278237311294388
2053,14.228311771379847
2054,14.178386231465304
2055,14.12846069155076
2056,14.078535151636219
2057,14.028609611721677
2058,13.978684071807134
2059,13.92875853189259
2060,13.878832991978049
2061,13.829611456295238
2062,13.780389920612427
2063,13.731168384929616
2064,13.681946849246804
2065,13.632725313563991
2066,13.58350377788118
2067,13.534282242198369
2068,13.485060706515558
2069,13.435839170832747
2070,13.386617635149936
2071,13.339313506386732
2072,13.292009377623529
2073,13.244705248860326
2074,13.197401120097123
2075,13.150096991333921
2076,13.102792862570718
2077,13.055488733807515
2078,13.008184605044312
2079,12.960880476281108
2080,12.913576347517905
2081,12.892088649929198
2082,12.87060095234049
2083,12.849113254751783
2084,12.827625557163076
2085,12.806137859574367
2086,12.78465016198566
2087,12.763162464396952
2088,12.741674766808245
2089,12.720187069219538
2090,12.69869937163083
2091,12.67962707014435
2092,12.660554768657873
2093,12.641482467171393
2094,12.622410165684913
2095,12.603337864198433
2096,12.584265562711956
2097,12.565193261225476
2098,12.546120959738996
2099,12.527048658252518
2100,12.507976356766038
